Cutting_Speed(m/s),Feed_per_Tooth(mm/tooth),Depth_of_Cut(mm),Flank_Wear(mm),Surface_Roughness(um)
2.32,0.178,1,0.12,2
3.67,0.178,1,0.12,1.45
2.32,0.28,1,0.12,2
3.67,0.28,1,0.12,1.3
2.32,0.178,2.25,0.12,2.1
3.67,0.178,2.25,0.12,1.4
2.32,0.28,2.25,0.12,2
3.67,0.28,2.25,0.28,1.45
2.32,0.178,1,0.28,3.05
3.67,0.178,1,0.28,2.2
2.32,0.28,1,0.28,3.1
3.67,0.28,1,0.28,2.7
2.32,0.178,2.25,0.28,3.5
3.67,0.178,2.25,0.28,2.45
2.32,0.28,2.25,0.28,2.4
3.67,0.28,2.25,0.28,1.75
2.95,0.223,1.5,0.18,1.6
2.95,0.223,1.5,0.18,1.6
2.95,0.223,1.5,0.18,2.2
2.95,0.223,1.5,0.18,1.85
2.95,0.223,1.5,0.18,2.3
2.95,0.223,1.5,0.18,2.7
1.83,0.223,1.5,0.18,3.3
4.65,0.223,1.5,0.18,1.05
2.95,0.142,1.5,0.18,2.1
2.95,0.351,1.5,0.18,2.5
2.95,0.223,0.67,0.18,2
2.95,0.223,3.37,0.18,2.2
2.95,0.223,1.5,0.08,1.45
2.95,0.223,1.5,0.4,2.6
